address,has_activity,num_fills,num_closing_trades,num_wins,num_losses,win_rate_pct,profit_factor,total_closed_pnl,coins_traded,first_fill_time,last_fill_time,active_days,largest_single_trade_pnl,concentration_ratio,account_equity,num_open_positions,total_unrealized_pnl,unrealized_pct_of_equity,is_bag_holding,ever_liquidated,ever_adl,profit_factor_numeric,score
0x7fba7e745bd97f828c824589680749b55a8c04ab,True,2000,2000,2000,0,100.0,inf,1959429.35,1,1786093690943,1786094183383,0.0,650715.95,0.332,0.0,0,0.0,,False,False,False,inf,0.9852159468438537
0xd598a3ad5637687537d2eb2d69dba4c65a6d9646,True,2000,2000,2000,0,100.0,inf,262349.4,1,1779889558936,1780212768243,3.7,363.18,0.001,0.0,0,0.0,,False,False,False,inf,0.970265780730897
0x042f3197544004962c2318a3120c4ecbce179050,True,2000,1434,1434,0,100.0,inf,280809.68,2,1775274280204,1780679352959,62.6,17084.77,0.061,0.0,0,0.0,,False,False,False,inf,0.963953488372093
0xe330ac756dabf22466317a01f5d1e9baa00e77a1,True,2000,1071,1069,2,99.8,25092.49,339647.49,7,1788308403434,1788792785742,5.6,117145.75,0.345,2340138.950957,4,173519.59,7.4,False,False,False,25092.49,0.920265780730897
0xd7583e3cf08bbcab66f1242195227bbf9f865fda,True,1609,1263,1246,17,98.7,657.7,161268.61,7,1740616412884,1785826379232,523.3,47106.4,0.292,43272.516577,1,15586.91,36.0,False,False,False,657.7,0.9196013289036545
0x7583b5364597736a6a72c4ba61ede0a4a37ef4de,True,2000,1170,975,195,83.3,85.26,422316.46,2,1765431445904,1788474809738,266.7,8670.4,0.021,0.0,0,0.0,,False,False,False,85.26,0.913953488372093
0xe133391b255ff6f439bbade2231264e5006cf35c,True,2000,1875,1774,101,94.6,171.36,119470.42,18,1787374631521,1787539285401,1.9,1062.58,0.009,0.0,0,0.0,,False,False,False,171.36,0.9129568106312294
0x5bacc6d3b4f25efeb63acaef441647425341eb98,True,2000,1146,1141,5,99.6,16532.5,97204.15,3,1769065668006,1772610581369,41.0,1937.89,0.02,0.0,0,0.0,,False,False,False,16532.5,0.8980066445182724
0x350e33a777d510616fbdb483d1de3b50d1edfcfb,True,2000,1066,1020,46,95.7,79.72,411136.69,4,1788661921198,1788736099265,0.9,4548.49,0.011,4536723.841067,7,1286651.75,28.4,False,False,False,79.72,0.8943521594684385
0x5ad79acbe4a9961ca921e5f28687119913e3e9ba,True,2000,1265,1196,69,94.5,35.54,126094.57,5,1788116143843,1788710538494,6.9,3728.32,0.03,66319.424382,3,65471.06,98.7,False,False,False,35.54,0.8860465116279069
0x8bd30fc805e672e1d978138ecbedcb48479ce275,True,2000,1653,1293,360,78.2,44.87,94747.02,3,1788690927601,1788790172806,1.1,107.67,0.001,0.0,0,0.0,,False,False,False,44.87,0.8857142857142857
0x4094ec1d7352b451e9b3d07ce4ed836331103960,True,2000,1045,1002,43,95.9,104.87,168036.28,1,1764087022785,1780036255257,184.6,432.21,0.003,0.0,0,0.0,,False,False,False,104.87,0.8840531561461794
0x456f1049c0f2ec990091bbd3f30af62aca3fcdf1,True,2000,791,791,0,100.0,inf,487167.35,2,1788538101471,1788782249959,2.8,14337.04,0.029,553988.852526,1,206963.63,37.4,False,False,False,inf,0.8682724252491694
0x72655b3926db3afbe914a53b0604905af7ce11a5,True,2000,2000,1966,34,98.3,288.45,37494.64,1,1788474790499,1788504876383,0.3,261.87,0.007,0.0,0,0.0,,False,False,False,288.45,0.8581395348837209
0xe8f7f10b9acc59b921abef3bb8dd32dbd794183e,True,2000,1297,1035,262,79.8,8.75,233274.38,3,1781620647685,1787018588345,62.5,8898.95,0.038,0.0,0,0.0,,False,False,False,8.75,0.8524916943521595
0x49a648936441b22f28f069d3c088928682b277ae,True,2000,937,874,63,93.3,96.23,255478.3,1,1785258180094,1788779691451,40.8,2713.71,0.011,1473787.960459,1,18304.35,1.2,False,False,False,96.23,0.8504983388704318
0x0ad9e656d9e6211d0ea1c5462342e1fc94cc4cbf,True,2000,917,917,0,100.0,inf,83773.66,5,1788505765712,1788767919952,3.0,7279.81,0.087,3494641.177484,2,1026553.32,29.4,False,False,False,inf,0.8463455149501662
0x6bc443fafe325f3b9d1cb10f7b07f2705067e759,True,2000,1089,1008,81,92.6,8.91,205836.6,10,1781119330057,1787592730967,74.9,25501.66,0.124,3905.771299,7,2525.47,64.7,False,False,False,8.91,0.8372093023255813
0x3915ccce7aa84d3cac9d57b672b9479c38a7058f,True,1665,691,678,13,98.1,4503.51,315822.63,5,1763989364018,1788526539111,284.0,46482.25,0.147,0.0,0,0.0,,False,False,False,4503.51,0.8299003322259136
0x8ecec0c9367490d2044aaff4030ad0becc33218b,True,2000,839,813,26,96.9,92.5,232723.26,8,1787785957136,1788703483069,10.6,30705.5,0.132,393116.450003,7,213685.66,54.4,False,False,False,92.5,0.8285714285714286
0x0ff911dc09dbb3006f25ee71093d0fe4fd82a44d,True,2000,1116,921,195,82.5,13.18,82234.27,3,1788459224843,1788780226562,3.7,2685.78,0.033,346832.745681,1,3363.49,1.0,False,False,False,13.18,0.8282392026578074
0x4f24303e0af2e4a94abcd516a3c80d38262bde6a,True,2000,921,655,266,71.1,36.38,189923.83,9,1787603542150,1788677461695,12.4,6838.4,0.036,566202.684443,2,446404.5,78.8,False,False,False,36.38,0.8255813953488372
0x5c42b895c1a7f42fe0f72ed2ba1fe442376fb61d,True,2000,1170,822,348,70.3,7.98,147000.96,13,1785972143482,1788463648653,28.8,9031.62,0.061,0.0,0,0.0,,False,False,False,7.98,0.8202657807308971
0x9a892211c5370bd84cebca70e5ecbf42cd4881eb,True,2000,977,732,245,74.9,16.59,106836.81,7,1748790556433,1781114564160,374.1,1510.59,0.014,0.0,0,0.0,,False,False,False,16.59,0.8179401993355482
0x16bf84af3f85f8c8a97597bf2be549dfe0dee637,True,2000,268,268,0,100.0,inf,687676.97,2,1784826130768,1788401633375,41.4,53684.69,0.078,0.0,0,0.0,,False,False,False,inf,0.8164451827242525
0x5740affc8faf8913f9f2d5fbb9bdc6e8119ea9da,True,2000,509,472,37,92.7,394.97,326314.01,12,1787163757051,1788642921665,17.1,12175.95,0.037,755687.845275,12,643199.87,85.1,False,False,False,394.97,0.8102990033222592
0x0b0bab22bbe4e850dfcdfc097872b16ce61e2185,True,2000,1050,675,375,64.3,8.83,97310.44,5,1781608289413,1785491277667,44.9,15401.8,0.158,0.0,0,0.0,,False,False,False,8.83,0.8036544850498339
0xb56a8e43ac07b1b84d14657e0135e4fb196858a6,True,2000,1570,956,614,60.9,8.11,59236.7,18,1779536902568,1786649097328,82.3,714.87,0.012,0.0,0,0.0,,False,False,False,8.11,0.8029900332225913
0x7c45b26c41c29330d042003cb312e73a3912024f,True,2000,1086,480,606,44.2,6.22,193311.98,10,1760163145558,1780489501544,235.3,18552.46,0.096,137791.872747,3,193343.55,140.3,False,False,False,6.22,0.7996677740863787
0x5b236d19f680ff47e7bf2a9eb88fc5cc03d443a8,True,2000,1020,910,110,89.2,10.12,78776.15,2,1782446418195,1783529353817,12.5,6041.63,0.077,16441.611354,0,0.0,0.0,False,False,False,10.12,0.7953488372093023
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,True,2000,1015,527,488,51.9,6.95,293529.09,9,1771612751615,1787855276147,188.0,13741.7,0.047,120685.08233,2,145010.9,120.2,False,False,False,6.95,0.793687707641196
0x81b0cbbbc1a69bd7ceca46a61684103bd9a6fb21,True,2000,1024,552,472,53.9,13.4,44440.02,17,1781320735100,1787962331570,76.9,2845.31,0.064,0.0,0,0.0,,False,False,False,13.4,0.7853820598006644
0x97fec1cdc7537d89bb4bcd882adad7dbab2f6b53,True,2000,1034,292,742,28.2,26.85,30788.76,3,1786920639721,1787154216672,2.7,541.33,0.018,0.0,0,0.0,,False,False,False,26.85,0.779734219269103
0x7c26dd0072273c7a1e0e3ce234eb47d33f71d4a6,True,840,330,330,0,100.0,inf,87126.18,5,1780660448974,1788526380053,91.0,7996.87,0.092,15424.595082,1,-401.0,-2.6,False,False,False,inf,0.7775747508305648
0xb75a08e82a1bf0fcceb89bbdaf9aae00be8ca29a,True,517,245,245,0,100.0,inf,103478.87,4,1779991021709,1788795247057,101.9,4226.55,0.041,561281.048172,2,96229.43,17.1,False,False,False,inf,0.7735880398671097
0xc619b01f1a4f894c5e83338c42f98dcb82b710f5,True,2000,806,674,132,83.6,8.56,616868.79,4,1787731620287,1788688074527,11.1,81189.0,0.132,1571200.717797,4,890160.12,56.7,False,False,False,8.56,0.7697674418604652
0x19f5c3bc2e0978d9a1da389d7d4cfe33cd770fe9,True,2000,1203,851,352,70.7,4.15,516862.51,7,1787345698445,1788780851502,16.6,81243.71,0.157,8446.5,1,1136.72,13.5,False,False,False,4.15,0.7687707641196013
0x3c363e96d22c056d748f199fb728fc80d70e461a,True,2000,1016,1015,1,99.9,12.03,37655.51,8,1787339440115,1788766872157,16.5,4585.46,0.122,212189.821017,1,7764.79,3.7,False,False,False,12.03,0.76578073089701
0xe4f50a994a31565a77013a8fc88421aab2eda0c4,True,2000,801,801,0,100.0,inf,26982.42,2,1788659014517,1788797686317,1.6,476.87,0.018,18448.615201,0,0.0,0.0,False,False,False,inf,0.7616279069767442
0x5c90517b85ae5a59a49072b0ce09e7af4b2b44ce,True,2000,1083,945,138,87.3,6.45,66986.05,4,1765829587269,1785938770709,232.7,4098.52,0.061,50585.494668,0,0.0,0.0,False,False,False,6.45,0.760797342192691
0xd70832ce681c2dabaf7ba90357229a27ac3b206a,True,1110,570,344,226,60.4,18.31,150815.96,3,1760525526277,1787390699768,310.9,12599.92,0.084,0.0,0,0.0,,False,False,False,18.31,0.760797342192691
0x37331441dd5aba9f15110d764218d4d4dc0c649a,True,2000,812,528,284,65.0,10.16,109221.96,17,1780120146577,1788463364796,96.6,7802.97,0.071,0.0,0,0.0,,False,False,False,10.16,0.759468438538206
0x4ae21ba5dd5cdfcdb23d5a565738cf0e30fc99b6,True,2000,977,865,112,88.5,9.95,48689.99,20,1786286748611,1788713158515,28.1,4019.8,0.083,17548.125618,3,1331.22,7.6,False,False,False,9.95,0.7551495016611296
